"phrase","n"
"<U+1E6D>hanañca kho eta<U+1E41> vijja",28
"eta<U+1E41> mama",28
"eva<U+1E41> sikkhitabba<U+1E41>",28
"tamaha<U+1E41> brumi brahma<U+1E47>a<U+1E41>",28
"tatha du",28
"abhabba phalassa adhigamaya",27
"akkhata maya savakana<U+1E41> pa<U+1E6D>ipada",27
"ariyasavako i",27
"aya<U+1E41> vuccatavuso",27
"evampi kho",27
"ki<U+1E41> nu kho",27
"no va",27
"sukha<U+1E41> du",27
"sukha<U+1E41> pa<U+1E6D>hama<U+1E41> jhana<U+1E41> upasampajja vihara",27
"ya<U+1E41> pananicca<U+1E41> dukkha<U+1E41> va ta<U+1E41> sukha<U+1E41> va",27
"ye te",27
"kalla<U+1E41> nu ta<U+1E41> samanupassitu<U+1E41>",26
"sammukha pa<U+1E6D>iggahita<U+1E41>",26
"tatha catuttha<U+1E41>",26
"tatha ta",26
"ya<U+1E41> pananicca<U+1E41> dukkha<U+1E41> vipari<U+1E47>amadhamma<U+1E41>",26
"<U+1E41> dvepi ja",25
"avuso kaccana",25
"ayampi kho",25
"bhikkhuna gosi<U+1E45>gasalavana<U+1E41> sobheyya",25
"brahma<U+1E47>ova se<U+1E6D><U+1E6D>ho va<U+1E47><U+1E47>o",25
"ettavata kho",25
"garu<U+1E41> karon",25
"na na ho",25
"apariññata<U+1E41> tassa",24
"atapi sampajano sa",24
"bba khara ka<U+1E6D>uka vedana vedayan",24
"ha te",24
"katame ca",24
"na upe",24
"yo so",24
"<U+1E6D><U+1E6D>hato saravato a",23
"bho udena",23
"eva<U+1E41> ho",23
"ida<U+1E41> kho",23
"na kho aha<U+1E41>",23
"sadhuka<U+1E41> manasi karohi",23
"sassato loko",23
"so eva<U+1E41> vadeyya",23
"ya<U+1E41> kho",23
"<U+1E41> ja",22
"<U+1E6D>hanameta<U+1E41> vijjati",22
"atappaya anuyogaya sataccaya padhanaya",22
"bhikkhuna i",22
"ekodi ho",22
"eva<U+1E41> no ettha ho",22
"evañhi vo",22
"katamo pana",22
"katha<U+1E41> va ettha hoti",22
"kkantamanusakena satte passa",22
"sa kho so",22
"tesa<U+1E41> pahana ajjhattameva citta<U+1E41> san",22
"vimuttasmi<U+1E41> vimuttami",22
"adinavo ettha bhiyyo",21
"agato ima<U+1E41> saddhamman",21
"atthi kho",21
"avuso gotama",21
"etamha sukha añña<U+1E41> sukha<U+1E41> abhikkantatarañca pa<U+1E47>itatarañca",21
"ida<U+1E41> vucca",21
"idameva sacca<U+1E41>",21
"ko nu kho",21
"sadhuka<U+1E41> manasi karotha",21
"sammasambuddho bhagava",21
"sammukha meta<U+1E41>",21
"tassa eva<U+1E41> ho",21
"upasa<U+1E45>kamitva bhagavanta<U+1E41> abhivadetva ekamanta<U+1E41> nisidi<U+1E41>su",21
"yasmi<U+1E41> samaye",21
"<U+1E41> paññapessati",20
"<U+1E47><U+1E47>a<U+1E41> sa<U+1E45>ga",20
"araddha<U+1E41> kho pana me",20
"bhagava sa<U+1E45>khittena uddesa<U+1E41> uddisitva vittharena attha<U+1E41> avibhajitva u<U+1E6D><U+1E6D>hayasana vihara<U+1E41> pavi<U+1E6D><U+1E6D>ho",20
"dibbena cakkhuna visuddhena a",20
"eke sama<U+1E47>abrahma<U+1E47>a eva<U+1E41>vadino eva<U+1E41>di<U+1E6D><U+1E6D>hino",20
"eva<U+1E41>di<U+1E6D><U+1E6D>hi bhava<U+1E41> gotamo",20
"mu<U+1E37>hassa va magga<U+1E41> acikkheyya",20
"na pamada<U+1E41> apajja",20
"nikkujjita<U+1E41> va ukkujjeyya",20
"pa<U+1E6D>icchanna<U+1E41> va vivareyya",20
"sace pana",20
"sama<U+1E47>o khalu",20
"svakkhato bhagavata dhammo",20
"yo gatha",20
"<U+1E47><U+1E47>o dukkhapareto",19
"<U+1E47><U+1E47>omhi ja",19
"appeva nama imassa kevalassa dukkhakkhandhassa antakiriya paññayetha",19
"asassato loko",19
"aya<U+1E41> dukkhasamudayo",19
"bhagavato suta<U+1E41>",19
"dassanañca rupana<U+1E41>",19
"eka<U+1E41> samaya<U+1E41> bhagava rajagahe vihara",19
"ittheke abhivadan",19
"katama<U+1E41> seyyo",19
"kho te bhikkhu bhagavato paccassosu<U+1E41>",19
"pi so bhagava araha<U+1E41> sammasambuddho vijjacara<U+1E47>asampanno sugato lokavidu anuttaro purisadammasarathi sattha devamanussana<U+1E41> buddho bhagava",19
"saddo abbhuggato",19
"sakara<U+1E41> sauddesa<U+1E41> anekavihita<U+1E41> pubbenivasa<U+1E41> anussara",19
"suppa<U+1E6D>ipanno bhagavato savakasa<U+1E45>gho",19
"tata ra<U+1E6D><U+1E6D>hapala",19
"va gahapa",19
"atita<U+1E41> nanvagameyya",18
"aya<U+1E41> dukkhanirodhagamini pa<U+1E6D>ipada",18
"aya<U+1E41> dukkhanirodho",18
"bhagavato acchariya<U+1E41> abbhutadhamma<U+1E41> dharemi",18
"bhikkhu pi",18
"bhikkhuna tesa<U+1E41>yeva papakana<U+1E41> akusalana<U+1E41> dhammana<U+1E41> pahanaya vayamitabba<U+1E41>",18
"citta<U+1E41> pagga<U+1E47>ha",18
"citta<U+1E41> uppadetabba<U+1E41>",18
"evameta<U+1E41> yathabhuta<U+1E41> sammappaññaya da<U+1E6D><U+1E6D>habba<U+1E41>",18
"evameva kho aha<U+1E41>",18
"katama cavuso",18
"na me",18
"no ca kho paripu<U+1E47><U+1E47>asa<U+1E45>kappo",18
"paccavekkhamano eva<U+1E41> janeyyasi",18
"puriso saratthiko saragavesi sarapariyesana<U+1E41> caramano mahato rukkhassa",18
"sace panavuso",18
"sappuriso ca kho",18
"saraddho ca pana me kayo ho",18
"so tattha dukkha",18
"tassa ce",18
"tatra ca pana me savaka bahu abhiññavosanaparamippatta viharan",18
"viriya<U+1E41> arabha",18
"viriya<U+1E41> ho",18
"ya jaraya mara<U+1E47>ena sokehi paridevehi dukkhehi domanassehi upayasehi",18
"<U+1E41> upa<U+1E6D><U+1E6D>hapetva",17
"api ca",17
"bhabba phalassa adhigamaya",17
"imani kho",17
"ma sukhavihari",17
"marisa moggallana",17
"na ho",17
"ña<U+1E47>a<U+1E41> ho",17
"so ida<U+1E41> dukkhan",17
"upekkhako sa",17
"yassa kassaci",17
"<U+1E41> anuppadadhamma",16
"agato ima<U+1E41> saddhamma<U+1E41>",16
"ahampassa<U+1E41> paresa<U+1E41> appiyo amanapo",16
"aya<U+1E41> me puggalo appiyo amanapo",16
"ayampi dhammo dovacassakara<U+1E47>o",16
"ayampi dhammo sovacassakara<U+1E47>o",16
"bhikkhu dhammesu dhammanupassi vihara",16
"bhikkhuna attanava attana<U+1E41> eva<U+1E41> paccavekkhitabba<U+1E41>",16
"eva<U+1E41> janantenavuso",16
"ida<U+1E41> vuccatavuso",16
"ka sokaparidevadukkhadomanassupayasa piyappabhavika",16
"katame pañca",16
"kho so",16
"ma vineyya loke abhijjhadomanassa<U+1E41>",16
"parabyabadhayapi sa<U+1E41>vatta",16
"parisuddhi<U+1E41> catuttha<U+1E41> jhana<U+1E41> upasampajja vihara",16
"pati ho",16
"sattha<U+1E41> adaya",16
"so ca ho",16
"sukha<U+1E41> va dukkha<U+1E41> va adukkhamasukha<U+1E41> va",16
"tesa<U+1E41> no",16
"ubhayabyabadhayapi sa<U+1E41>vatta",16
"upa<U+1E6D><U+1E6D>hita sa",16
"ve<U+1E37>uvane kalandakanivape",16
"viññu puriso i",16
"ya aka<U+1E45>kha",16
"ya<U+1E41> ta<U+1E41> ariya acikkhan",16
"ya<U+1E41> ta<U+1E41> vutta<U+1E41>",16
"yatharupañca kho",16
"ye ca kho ime pabbajitena jivitaparikkhara samudanetabba",16
"<U+1E41> apajja",15
"abhikkamosana<U+1E41> paññaya",15
"adikalya<U+1E47>a<U+1E41> majjhekalya<U+1E47>a<U+1E41> pariyosanakalya<U+1E47>a<U+1E41> sattha<U+1E41> sabyañjana<U+1E41>",15
"andhakare va telapajjota<U+1E41> dhareyya",15
"aparikkhi<U+1E47>a ca asava parikkhaya<U+1E41> gacchan",15
"ba<U+1E37>ha me dukkha vedana abhikkaman",15
"bba khara ka<U+1E6D>uka vedana vede",15
"bhikkhu kaye kayanupassi vihara",15
"bhikkhu saddhaya samannagato ho",15
"ca na ca ho",15
"cakkhumanto rupani dakkhanti",15
"di<U+1E6D><U+1E6D>hiya sa",15
"ha tattha sampajano ho",15
"idameta<U+1E41> pa<U+1E6D>icca vutta<U+1E41>",15
"ima kho",15
"ime asava",15
"kevalaparipu<U+1E47><U+1E47>a<U+1E41> parisuddha<U+1E41> brahmacariya<U+1E41> pakase",15
"kkammeva sara<U+1E41> a",15
"na ca tava kala<U+1E41> karo",15
"na janatha",15
"no pa<U+1E6D>ikkaman",15
"no pa<U+1E6D>ikkamo",15
"phassapaccaya vedana",15
"sakkatva garu<U+1E41> katva upanissaya vihareyyu<U+1E41>",15
"samadhimhi cute obhaso antaradhaya",15
"santo acikkhate muni",15
"so dhamma<U+1E41> dese",15
"so dibbena cakkhuna visuddhena a",15
"so eva<U+1E41> pabbajito samano labhasakkarasiloka<U+1E41> abhinibbatte",15
"so eva<U+1E41> samahite citte parisuddhe pariyodate ana<U+1E45>ga<U+1E47>e vigatupakkilese mudubhute kammaniye <U+1E6D>hite aneñjappatte pubbenivasanussa",15
"so ima<U+1E41> loka<U+1E41> sadevaka<U+1E41> samaraka<U+1E41> sabrahmaka<U+1E41> sassama<U+1E47>abrahma<U+1E47>i<U+1E41> paja<U+1E41> sadevamanussa<U+1E41> saya<U+1E41> abhiñña sacchikatva pavede",15
"suta<U+1E41> meta<U+1E41>",15
"ta<U+1E41> su<U+1E47>atha",15
"tamena<U+1E41> cakkhuma puriso disva eva<U+1E41> vadeyya",15
"tata kumara",15
"taya viharasamapat",15
"te abbhattha<U+1E41> gacchan",15
"vadamano vadeyya",15
"yamo raja evamaha",15
"yannunaha<U+1E41> appa<U+1E47>aka<U+1E41>yeva jhana<U+1E41> jhayeyyan",15
"yatha ta<U+1E41> appamattassa atapino pahitattassa viharato",15
"yava na ta<U+1E41> papakamma<U+1E41> byantiho",15
"<U+1E41> bhave",14
"<U+1E41> etadavoca",14
"<U+1E6D>hana<U+1E41> kho paneta<U+1E41> vijja",14
"ahampi kho",14
"anantava loko",14
"attamano ayasma anando bhagavato bhasita<U+1E41> abhinandi",14
"avuso channa",14
"aya<U+1E41> asavasamudayo",14
"bhante sariputta",14
"brahmacakka<U+1E41> pavatte",14
"brahmacariya<U+1E41> vussati",14
"dhammacari samacari",14
"dhammo tasma loka",14
"evameva<U+1E41> bhota gotamena anekapariyayena dhammo pakasito",14
"kkamma natthi kiñci",14
"ko ca ho",14
"maggo aya<U+1E41> pa<U+1E6D>ipada tatrupapat",14
"neva ho",14
"pa<U+1E6D>ipada yadida<U+1E41>",14
"parisasu sihanada<U+1E41> nada",14
"pata<U+1E41> pahaya pa<U+1E47>a",14
"sace manussatta<U+1E41> agaccha",14
"sace pana tva<U+1E41>",14
"samma nu kho so",14
"sammadi<U+1E6D><U+1E6D>hi pubba<U+1E45>gama ho",14
"so kupito ho",14
"so ta<U+1E41> citta<U+1E41> daha",14
"ta<U+1E41> citta<U+1E41> adhi<U+1E6D><U+1E6D>ha",14
"ta<U+1E41> citta<U+1E41> bhave",14
"ta<U+1E41> kho pana bhavanta<U+1E41> gotama<U+1E41> eva<U+1E41> kalya<U+1E47>o kit",14
"tassa te sa<U+1E45>khara ca vihara ca eva<U+1E41> bhavita eva<U+1E41> bahulikata tatrupapat",14
"tatha hi so dhammacari samacari",14
"tattha nandi<U+1E41> na samanvane",14
"tattha nandi<U+1E41> samanvane",14
"tesamaha<U+1E41> aññataro",14
"ya ca viraga upekkhako ca vihara",14
"ya ceva kho pana ajjhat",14
"ya sa<U+1E41>vatta",14
"ya sa<U+1E41>vattan",14
"yampi kho",14
"yattha yattha paccajaya",14
"yo vadeyya",14
"<U+1E41> apajjita parajika<U+1E41> va parajikasamanta<U+1E41> va",13
"<U+1E41> di<U+1E6D><U+1E6D>heva dhamme saya<U+1E41> abhiñña sacchikatva upasampajja vihara",13
"avuso moggallana",13
"aya<U+1E41> asavanirodhagamini pa<U+1E6D>ipada",13
"aya<U+1E41> asavanirodho",13
"bhante ananda",13
"bhavana<U+1E41> bhavehi",13
"bhikkhu kayagatasa",13
"bhikkhu vivicceva kamehi vivicca akusalehi dhammehi savitakka<U+1E41> savicara<U+1E41> vivekaja<U+1E41> pi",13
"evarupapi kho me",13
"ima<U+1E41> kho aha<U+1E41>",13
"imassa kho aha<U+1E41>",13
"ka<U+1E41> bandhana<U+1E41>",13
"katamo cavuso",13
"khamaniya<U+1E41> na yapaniya<U+1E41>",13
"kkamma ananta<U+1E41> viñña<U+1E47>an",13
"kopo yo ca appaccayo",13
"nayida<U+1E41> sukara<U+1E41> agara<U+1E41> ajjhavasata ekantaparipu<U+1E47><U+1E47>a<U+1E41> ekantaparisuddha<U+1E41> sa<U+1E45>khalikhita<U+1E41> brahmacariya<U+1E41> caritu<U+1E41>",13
"paccekasambuddho imasmi<U+1E41> isigilismi<U+1E41> pabbate ciranivasi ahosi",13
"sakkatva garu<U+1E41> katva upanissaya viharan",13
"samma jo",13
"saretva ekamanta<U+1E41> nisidi<U+1E41>su",13
"sukha vedana",13
"ta<U+1E41> neta<U+1E41> mama",13
"tañca magga<U+1E41> samaru<U+1E37>ho",13
"te evamaha<U+1E41>su",13
"ubhayameta<U+1E41> a<U+1E45>ga<U+1E47>a<U+1E41>",13
"ya<U+1E41> idhekaccassa bhikkhuno eva<U+1E41> iccha uppajjeyya",13
"yannunaha<U+1E41> kesamassu<U+1E41> oharetva kasayani vatthani acchadetva agarasma anagariya<U+1E41> pabbajeyyan",13
"ye hi keci",13
"ye te sama<U+1E47>abrahma<U+1E47>a eva<U+1E41>vadino eva<U+1E41>di<U+1E6D><U+1E6D>hino",13
"yo ceva kho",13
"abhabbava te ña<U+1E47>aya dassanaya anuttaraya sambodhaya",12
"akiñcaññayatana<U+1E41> upasampajja vihara",12
"antava loko",12
"apissu ma<U+1E41>",12
"araha<U+1E41> sammasambuddho",12
"arañña<U+1E41> rukkhamula<U+1E41> pabbata<U+1E41> kandara<U+1E41> giriguha<U+1E41> susana<U+1E41> vanapattha<U+1E41> abbhokasa<U+1E41> palalapuñja<U+1E41>",12
"atta me uppajja",12
"avijjasavapi citta<U+1E41> vimucca",12
"avuso kalama",12
"aya<U+1E41> imesa<U+1E41> ubhinna<U+1E41> va<U+1E47><U+1E47>ana<U+1E41> abhikkantataro ca pa<U+1E47>itataro ca",12
"aya<U+1E41> kho me",12
"ayampi dhammo sara<U+1E47>iyo piyakara<U+1E47>o garukara<U+1E47>o sa<U+1E45>gahaya avivadaya samaggiya ekibhavaya sa<U+1E41>vatta",12
"bhaddekarattassa uddesañca vibha<U+1E45>gañca",12
"bhavasavapi citta<U+1E41> vimucca",12
"brahma<U+1E47>o evamaha",12
"ca ve",12
"cakkhuviññeyya rupa i<U+1E6D><U+1E6D>ha kanta manapa piyarupa kamupasa<U+1E41>hita rajaniya",12
"cayasma mahakaccano imassa bhagavata sa<U+1E45>khittena uddesassa uddi<U+1E6D><U+1E6D>hassa vittharena attha<U+1E41> avibhattassa vittharena attha<U+1E41> vibhajitu<U+1E41>",12
"ceva khama",12
"dhammanudhammappa<U+1E6D>ipanno samicippa<U+1E6D>ipanno anudhammacari",12
"dosadhamma va parikkhaya<U+1E41> gacchan",12
"dukkha vedana",12
"eva<U+1E41> vadeyya",12
"evarupena kho",12
"iccassa evamagata<U+1E41> ho",12
"ida<U+1E41> kho no",12
"kala<U+1E41> maññasi",12
"katame cattaro",12
"katamo dhammo bahukaro",12
"ke pabbajja<U+1E41>",12
"ke va",12
"kevalampi rat",12
"kittavata nu kho",12
"maya abyakata<U+1E41>",12
"mohadhamma va parikkhaya<U+1E41> gacchan",12
"mukhato ca nasato ca ka<U+1E47><U+1E47>ato ca assasapassase uparundhi<U+1E41>",12
"na mañña",12
"na paripu<U+1E47><U+1E47>asa<U+1E45>kappo",12
"na sampasida",12
"pavivekaya pi",12
"sadukkho eso dhammo saupaghato saupayaso sapari<U+1E37>aho",12
"so tattha pasa<U+1E41>so",12
"so tattha pujjo",12
"so taya silasampadaya attamano ho",12
"so tena labhasakkarasilokena na attamano ho",12
"so tena labhasakkarasilokena na attanukka<U+1E41>se",12
"sukhena abhisande",12
"sukhena apphu<U+1E6D>a<U+1E41> ho",12
"tañca panamhaka<U+1E41> rucca",12
"tasma ta<U+1E41> na upapajja",12
"tassa eva<U+1E41> janato eva<U+1E41> passato kamasavapi citta<U+1E41> vimucca",12
"tassa suta<U+1E41> ho",12
"tathaya<U+1E41> puggalo pa<U+1E6D>ipanno tatha ca iriya",12
"teneva dukkhappadhanena padhanabhitunnassa sato",12
"upasa<U+1E45>kamitva a<U+1E37>ara<U+1E41> kalama<U+1E41> etadavoca<U+1E41>",12
"upasa<U+1E45>kamitva udaka<U+1E41> ramaputta<U+1E41> etadavoca<U+1E41>",12
"upekkha sa<U+1E47><U+1E6D>ha",12
"viharassa sama",12
"vitakkavicarana<U+1E41> vupasama ajjhatta<U+1E41> sampasadana<U+1E41> cetaso ekodibhava<U+1E41> avitakka<U+1E41> avicara<U+1E41> samadhija<U+1E41> pi",12
"ya<U+1E41> ta<U+1E41> vutta<U+1E41> idameta<U+1E41> pa<U+1E6D>icca vutta<U+1E41>",12
"yassa kho pana uppadopi vayopi paññaya",12
"yo ca kho",12
"yo va rattandhakara",12
"yo vadeyya ta<U+1E41> na upapajja",12
"<U+1E41> anavassava kammakkhayo",11
"<U+1E41> anavassavo",11
"<U+1E41> anuppado ho",11
"<U+1E41> sagga<U+1E41> loka<U+1E41> upapanna",11
"<U+1E41> vinipata<U+1E41> niraya<U+1E41> upapajjan",11
"adukkho eso dhammo anupaghato anupayaso apari<U+1E37>aho",11
"aggi<U+1E41> abhinibbattessami",11
"akasanañcayatana<U+1E41> upasampajja vihara",11
"atha puriso agaccheyya uttarara<U+1E47>i<U+1E41> adaya",11
"atthi nu kho",11
"byakata<U+1E41> kho",11
"dukkhakkhaya vedanakkhayo",11
"ekamanta<U+1E41> nisinna kho te bhikkhu bhagavanta<U+1E41> etadavocu<U+1E41>",11
"eva<U+1E41> sante",11
"evañca vade",11
"idha maya<U+1E41>",11
"idha pa<U+1E47>a",11
"ime ca",11
"ime vuccan",11
"imehi kho",11
"imesa<U+1E41> ubhinna<U+1E41> va<U+1E47><U+1E47>ana<U+1E41> katamo va<U+1E47><U+1E47>o abhikkantataro ca pa<U+1E47>itataro ca",11
"jivhaya talu<U+1E41> ahacca",11
"kammakkhaya dukkhakkhayo",11
"kho paneta<U+1E41> vutta<U+1E41> bhagavata",11
"ki<U+1E41> panavuso",11
"kkama pa<U+1E6D>ighasaññana<U+1E41> attha<U+1E45>gama nanattasaññana<U+1E41> amanasikara ananto akaso",11
"navana<U+1E41> kammana<U+1E41> akara<U+1E47>a",11
"ñaya<U+1E41> dhamma<U+1E41> kusala<U+1E41>",11
"pañca kamagu<U+1E47>a",11
"pañca kho ime",11
"sato sampajano",11
"so anekavihita<U+1E41> pubbenivasa<U+1E41> anussara",11
"svassa ho",11
"tassa kho pana",11
"tejo patukarissami",11
"upasa<U+1E45>kamitva paññatte asane nisidi",11
"va dakkha",11
"vedanakkhaya sabba<U+1E41> dukkha<U+1E41> nijji<U+1E47><U+1E47>a<U+1E41> bhavissati",11
"vidita abbhattha<U+1E41> gacchan",11
"vidita upa<U+1E6D><U+1E6D>hahan",11
"vineyya loke abhijjhadomanassa<U+1E41>",11
"viñña<U+1E47>añcayatana<U+1E41> upasampajja vihara",11
"vittharena attha<U+1E41> avibhattassa",11
"ya upama pa<U+1E6D>ibhasi anacchariya pubbe assutapubba",11
"yasmi<U+1E41> kho",11
"<U+1E41> vinipata<U+1E41> niraya<U+1E41> upapanna",10
"adinnadana pa<U+1E6D>ivirato ho",10
"adinnadana<U+1E41> pahaya adinnadana pa<U+1E6D>ivirato ho",10
"adukkhamasukha vedana",10
"ajjeva kiccamatappa<U+1E41>",10
"akicchalabhi akasiralabhi",10
"anagata<U+1E41> nappa<U+1E6D>ika<U+1E45>kha",10
"anagata<U+1E41> pa<U+1E6D>ika<U+1E45>kha",10
"aparikkhi<U+1E47>a ca asava na parikkhaya<U+1E41> gacchan",10
"appattañca anagata<U+1E41>",10
"aradhako ho",10
"ariyasavakassa yathabhuta<U+1E41> sammappaññaya passato",10
"asa<U+1E41>hira<U+1E41> asa<U+1E45>kuppa<U+1E41>",10
"asamahitañca citta<U+1E41> na samadhiya",10
"asamahitañca citta<U+1E41> samadhiya",10
"atha kho bhagavato etadahosi",10
"atha kho na<U+1E41> vikkandanta<U+1E41>yeva niraye nirayapala pakkhipeyyu<U+1E41>",10
"atita<U+1E41> anvagame",10
"atita<U+1E41> nanvagame",10
"aya<U+1E41> paramo va<U+1E47><U+1E47>o",10
"bba tasmi<U+1E41> samaye opakkamika dukkha",10
"bba<U+1E41> padhana<U+1E41>",10
"bbo upakkamo ho",10
"bhavana<U+1E41> bhavayato uppanna manapamanapa phassa citta<U+1E41> na pariyadaya <U+1E6D>hassan",10
"bhikkhu kodhano ho",10
"bhikkhu vitakkavicarana<U+1E41> vupasama ajjhatta<U+1E41> sampasadana<U+1E41> cetaso ekodibhava<U+1E41> avitakka<U+1E41> avicara<U+1E41> samadhija<U+1E41> pi",10
"brahmacariyavaso abhavissa",10
"ce ma<U+1E41>",10
"dhammacariyasamacariya seyyo",10
"eva<U+1E41> bya kho aha<U+1E41>",10
"eva<U+1E41> kho me",10
"eva<U+1E41> vadami",10
"eva<U+1E41>vihari<U+1E41> atapi<U+1E41>",10
"evameva kho tva<U+1E41>",10
"garayha niga<U+1E47><U+1E6D>ha",10
"ime cattaro va<U+1E47><U+1E47>a samasama hon",10
"iminapi kho eta<U+1E41>",10
"kacci te",10
"katamani cattari",10
"kenacideva kara<U+1E47>iyena",10
"kho pana",10
"ki<U+1E41> pana tumhe",10
"kiñhi no siya",10
"kkamma pheggu<U+1E41> a",10
"ko jañña mara<U+1E47>a<U+1E41> suve",10
"ma ma<U+1E41> niraya<U+1E41> nirayapala",10
"mahasenena maccuna",10
"mattaya anissito ca vihara",10
"me bhagava byakarotu",10
"me sunaparantaka manussa",10
"na amanasikaro",10
"na ca kiñci loke upadiya",10
"na ca papakamma<U+1E41> katu<U+1E41>",10
"na hi no sa<U+1E45>gara<U+1E41> tena",10
"na ta<U+1E41> seyyo",10
"na upa<U+1E6D><U+1E6D>ha",10
"na upapajjati",10
"ña<U+1E47>aya citta<U+1E41> abhininname",10
"nappa<U+1E6D>ika<U+1E45>khe anagata<U+1E41>",10
"paccupa<U+1E6D><U+1E6D>hita ho",10
"paccuppannañca yo dhamma<U+1E41>",10
"paccuppannesu dhammesu na sa<U+1E41>hira",10
"paccuppannesu dhammesu sa<U+1E41>hira",10
"pasa<U+1E41>so tathagato",10
"passatha no tumhe",10
"phalassa adhigamaya",10
"pi me no",10
"pu<U+1E6D><U+1E6D>ho samano na kho aha<U+1E41>",10
"pura<U+1E47>ana<U+1E41> kammana<U+1E41> tapasa byantibhava",10
"sace bhagava jana",10
"sace kho tva<U+1E41>",10
"sadhu kho pana tatharupana<U+1E41> arahata<U+1E41> dassana<U+1E41> hoti",10
"samadayeva pakkama",10
"sambojjha<U+1E45>ga<U+1E41> bhave",10
"sammoha<U+1E41> apajja",10
"saphala<U+1E41> padhana<U+1E41>",10
"saphalo upakkamo ho",10
"savaka sakkareyyu<U+1E41> garu<U+1E41> kareyyu<U+1E41> maneyyu<U+1E41> pujeyyu<U+1E41>",10
"so ca tathagatappavedita<U+1E41> dhammavinaya<U+1E41> agamma pa<U+1E47>a",10
