phrase,n,,sutta count (incomplete)
"tasm_tiha te, gahapati/bhikkhu, eva_ sikkhitabba_  / evañhi te, gahapati, sikkhitabba_",45,"(That’s why,) ***  you should train like this",7
eva_ no ettha hoti,22,That is how we see it,mn38
tassa eva_ hoti,21,They think (they exist in this way),7
tesa_ pah_n_ ajjhattameva citta_ santi__hati sannis_dati ekodi hoti sam_dhiyati,21,"Their mind becomes stilled internally; it settles, unifies, and becomes immersed in sam_dhi.",2
_h_nameta_ vijjati,21,it is possible that (this basis exists),10
eva_di__hi bhava_ gotamo,20,"Sir, Gotama is this your view",1
so eva_ sam_hite citte parisuddhe pariyod_te ana_ga_e vigat_pakkilese mudubh_te kammaniye _hite _neñjappatte _sav_na_ khayañ___ya citta_ abhininn_meti,20,"When their mind has become immersed in sam_dhi like this—purified, bright, flawless, rid of corruptions, pliable, workable, steady, and imperturbable—they extend it toward knowledge of the ending of defilements.",10
"eva_, bhanteti kho te bhikkh_ bhagavato paccassosu_",19,"Yes, sir, they (the monastics) replied",19
"sammukh_ meta_, bhante, bhagavato suta_, sammukh_ pa_iggahita_",19,"Sir, I have heard and learned this in the presence of the Buddha:",mn123
"kh___ j_ti, vusita_ brahmacariya_, kata_ kara__ya_, n_para_ itthatt_y_ti paj_n_ti",18,"We understand: ‘Rebirth is ended, the spiritual journey has been completed, what had to be done has been done, there is no return to any state of existence.’",18
"samm_sambuddho bhagav_, sv_kkh_to bhagavat_ dhammo, suppa_ipanno bhagavato s_vakasa_ghoti",18,The Blessed One is a fully awakened Buddha. The teaching is well explained. The Sa_gha is practicing well.,3
"sappuriso ca kho, bhikkhave, iti pa_isañcikkhati",18,"(monastics),a  good person reflects (like this…)",mn113
tassa bhavanti vatt_ro,18,there will be some who say,
tatra ca pana me s_vak_ bah_ abhiññ_vos_nap_ramippatt_ viharanti,18,,
"_ka_kheyya ce, bhikkhave, bhikkhu",17,,
itipi so bhagav_ araha_ samm_sambuddho vijj_cara_asampanno sugato lokavid_ anuttaro purisadammas_rathi satth_ devamanuss_na_ buddho bhagav_ti,16,,
katame pañca,16,,
"tamaha_, thapati, veditabbanti vad_mi",16,,
ye ca kho ime pabbajitena j_vitaparikkh_r_ samud_netabb_,16,,
"b__h_ me dukkh_ vedan_ abhikkamanti, no pa_ikkamanti",15,,
itiha tattha sampaj_no hoti,15,,
"puna capara_, _vuso, bhikkhun_ attan_va att_na_ eva_ paccavekkhitabba_",15,,
sam_dhimhi cute obh_so antaradh_yati dassanañca r_p_na_,15,,
so eva_ pabbajito sam_no l_bhasakk_rasiloka_ abhinibbatteti,15,,
so ima_ loka_ sadevaka_ sam_raka_ sabrahmaka_ sassama_abr_hma_i_ paja_ sadevamanussa_ saya_ abhiññ_ sacchikatv_ pavedeti,15,,
tamena_ cakkhum_ puriso disv_ eva_ vadeyya,15,,
"tamena_, bhikkhave, yamo r_j_ evam_ha",15,,
vimuttasmi_ vimuttamiti ñ__a_ hoti,15,,
yann_n_ha_ app__aka_yeva jh_na_ jh_yeyyanti,15,,
"abhikkanta_, bho gotama, abhikkanta_, bho gotama",14,,
"_ka_kheyya ce, gahapatayo, dhammac_r_ samac_r_",14,,
"anicca_, bhante",14,,
attamano  bhagavato bh_sita_ abhinand_ti,14,,
"aya_, bhikkhave, maggo aya_ pa_ipad_ tatrupapattiy_ sa_vattati",14,,
cakkhumanto r_p_ni dakkhant_ti,14,,
evameva_ bhot_ gotamena anekapariy_yena dhammo pak_sito,14,,
"idameva sacca_, moghamaññanti",14,,
"oti__omhi j_tiy_ jar_ya mara_ena sokehi paridevehi dukkhehi domanassehi up_y_sehi, dukkhoti__o dukkhapareto, appeva n_ma imassa kevalassa dukkhakkhandhassa antakiriy_ paññ_yeth_ti",14,,
"so ta_ citta_ dahati, ta_ citta_ adhi__h_ti, ta_ citta_ bh_veti",14,,
"so tattha dukkh_ tibb_ khar_ ka_uk_ vedan_ vedeti, na ca t_va k_la_ karoti y_va na ta_ p_pakamma_ byant_hoti",14,,
ta_ kho pana bhavanta_ gotama_ eva_ kaly__o kittisaddo abbhuggato,14,,
tassa te sa_kh_r_ ca vih_r_ ca eva_ bh_vit_ eva_ bahul_kat_ tatrupapattiy_ sa_vattanti,14,,
evameta_ yath_bh_ta_ sammappaññ_ya da__habba_,13,,
iti so kupito hoti appat_to,13,,
"puna capara_, s_riputta, bhikkhun_ iti pa_isañcikkhitabba_",13,,
te evam_ha_su,13,,
"_h_na_ kho paneta_, _vuso, vijjati ya_ idhekaccassa bhikkhuno eva_ icch_ uppajjeyya",13,,
ubhayameta_ a_ga_a_,13,,
yann_n_ha_ kesamassu_ oh_retv_ k_s_y_ni vatth_ni acch_detv_ ag_rasm_ anag_riya_ pabbajeyyanti,13,,
"yo ceva kho, _vuso, kopo yo ca appaccayo",13,,
"abhikkamos_na_ paññ_yati, no pa_ikkamo",12,,
ayampi dhammo s_ra__yo piyakara_o garukara_o sa_gah_ya aviv_d_ya s_maggiy_ ek_bh_v_ya sa_vattati,12,,
katame catt_ro,12,,
"sace pana tva_, r_hula, paccavekkham_no eva_ j_neyy_si",12,,
"seyyath_pi, bho gotama, nikkujjita_ v_ ukkujjeyya, pa_icchanna_ v_ vivareyya, m__hassa v_ magga_ _cikkheyya, andhak_re v_ telapajjota_ dh_reyya",12,,
"so ca hoti dhamm_nudhammappa_ipanno s_m_cippa_ipanno anudhammac_r_, so tattha pujjo, so tattha p_sa_soti",12,,
"so tena l_bhasakk_rasilokena na att_nukka_seti, na para_ vambheti",12,,
tasm_ ta_ na upapajjati,12,,
"tassa eva_ j_nato eva_ passato k_m_sav_pi citta_ vimuccati, bhav_sav_pi citta_ vimuccati, avijj_sav_pi citta_ vimuccati",12,,
tassa suta_ hoti,12,,
tath_ hi so dhammac_r_ samac_r_,12,,
upasa_kamitv_ ___ra_ k_l_ma_ etadavoca_,12,,
upasa_kamitv_ udaka_ r_maputta_ etadavoca_,12,,
"yassa kho pana upp_dopi vayopi paññ_yati, att_ me uppajjati ca veti c_ti iccassa evam_gata_ hoti",12,,
"aggi_ abhinibbattess_mi, tejo p_tukariss_m_ti",11,,
atha puriso _gaccheyya uttar_ra_i_ _d_ya,11,,
ekamanta_ nisinn_ kho te bhikkh_ bhagavanta_ etadavocu_,11,,
"puna capara_, bhikkhave, ariyas_vako iti pa_isañcikkhati",11,,
"so dhamma_ deseti _dikaly__a_ majjhekaly__a_ pariyos_nakaly__a_ s_ttha_ sabyañjana_, kevalaparipu__a_ parisuddha_ brahmacariya_ pak_seti",11,,
upasa_kamitv_ paññatte _sane nis_di,11,,
yath_ ta_ appamattassa _t_pino pahitattassa viharato,11,,
"acchariya_, bhante, abbhuta_, bhante",10,,
"adhammacariy_visamacariy_hi, bho s_riputta, dhammacariy_samacariy_ seyyoti",10,,
"ajjeva kiccam_tappa_, ko jaññ_ mara_a_ suve",10,,
"asa_h_ra_ asa_kuppa_, ta_ vidv_ manubr_haye",10,,
atha kho bhagavato etadahosi,10,,
atha kho na_ vikkandanta_yeva niraye nirayap_l_ pakkhipeyyu_,10,,
"at_ta_ n_nv_gameyya, nappa_ika_khe an_gata_",10,,
br_hma_o evam_ha,10,,
dukkhakkhay_ vedan_kkhayo,10,,
"pu__ho sam_no na kho aha_, vaccha, eva_di__hi",10,,
"eva_vih_ri_ _t_pi_, ahorattamatandita_",10,,
"evañheta_, bhaginiyo, hoti ariyas_vakassa yath_bh_ta_ sammappaññ_ya passato",10,,
"iti pur___na_ kamm_na_ tapas_ byant_bh_v_, nav_na_ kamm_na_ akara__, _yati_ anavassavo",10,,
iti viditv_ tassa nissara_adass_v_ tath_gato tadup_tivatto,10,,
kammakkhay_ dukkhakkhayo,10,,
katama_ seyyoti,10,,
katam_ni catt_ri,10,,
"ki_ pana tumhe, _vuso niga__h_, j_n_tha",10,,
"na hi no sa_gara_ tena, mah_senena maccun_",10,,
"na kho aha_, vaccha, eva_di__hi",10,,
"paccuppannañca yo dhamma_, tattha tattha vipassati",10,,
sace bhagav_ j_n_ti,10,,
s_dhu kho pana tath_r_p_na_ arahata_ dassana_ hot_ti,10,,
"so anekavihita_ pubbeniv_sa_ anussarati, seyyathida_",10,,
"ta_ neta_ mama, nesohamasmi, na meso att_ti",10,,
tamena_ eva_ vadeyyu_,10,,
tasm_ eso dhammo sara_o,10,,
tayida_ sa_khata_ o__rika_ atthi kho pana sa_kh_r_na_ nirodho atthetanti,10,,
vedan_kkhay_ sabba_ dukkha_ nijji__a_ bhavissat_ti,10,,
"yadat_ta_ pah_na_ ta_, appattañca an_gata_",10,,
